"grid-item href","dates","cat-ev","contenu","contenu 2","buy-see 2","buy-see href 2"
"https://archipel.ville-fouesnant.fr/agenda/cafe-astro-1/","mardi 15 octobre 2024","Conférence","Café Astro #1","À la recherche des océans dans le système solaire et au-delà","",""
"https://archipel.ville-fouesnant.fr/agenda/a-voix-haute-1/","mercredi 16 octobre 2024","Lecture","À voix haute #1","Les essentielles","",""
"https://archipel.ville-fouesnant.fr/agenda/lhomme-dhabitude/","jeudi 17 octobre 2024","Musique","L’homme d’habitude","Les Blérots de R.A.V.E.L. & la Cie Vilcanota - Bruno Pradet","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=815"
"https://archipel.ville-fouesnant.fr/agenda/club-cine-1/","vendredi 18 octobre 2024","Projection","Club ciné #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-1/","samedi 19 octobre 2024","Les animations pour les tout-petits","Bébé-musiciens #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-2/","samedi 19 octobre 2024","Les animations pour les tout-petits","Bébé-musiciens #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/la-basse-a-voix-haute/","samedi 19 octobre 2024","Showcase","La basse à voix haute","En showcase","",""
"https://archipel.ville-fouesnant.fr/agenda/a-quatre-mains-7/","Du 21 octobre au 25 octobre 2024","Atelier","À quatre mains","Activités en famille","",""
"https://archipel.ville-fouesnant.fr/agenda/aprem-jeux-1/","mercredi 30 octobre 2024","Jeu","Aprem’ jeux #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/les-ptites-oreilles-1/","jeudi 31 octobre 2024","Les animations pour les tout-petits","Les p’tites oreilles #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/apero-bulles-1/","mercredi 6 novembre 2024","Club","Apéro bulles #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/les-essentielles/","jeudi 7 novembre 2024","Théâtre","Les essentielles","Faustine Noguès","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=816"
"https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-faustine-nogues/","vendredi 8 novembre 2024","Échange","Un petit déjeuner avec Faustine Noguès","autour du spectacle Les essentielles","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-2/","vendredi 8 novembre 2024","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-3/","samedi 9 novembre 2024","Les animations pour les tout-petits","Bébé-lecteurs #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-lecteurs-4/","samedi 9 novembre 2024","Les animations pour les tout-petits","Bébé-lecteurs #4","","",""
"https://archipel.ville-fouesnant.fr/agenda/enlivrez-vous/","mardi 12 novembre 2024","Rencontre","Enlivrez-vous !","Présentation littéraire","",""
"https://archipel.ville-fouesnant.fr/agenda/vox-low/","jeudi 14 novembre 2024","Musique","Vox Low","Keep On Falling","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=818"
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-4/","samedi 16 novembre 2024","Les animations pour les tout-petits","Bébé-musiciens #4","","",""
"https://archipel.ville-fouesnant.fr/agenda/bebe-musiciens-3/","samedi 16 novembre 2024","Les animations pour les tout-petits","Bébé-musiciens #3","","",""
"https://archipel.ville-fouesnant.fr/agenda/atelier-2tonnes-2/","samedi 16 novembre 2024","Atelier","Atelier 2tonnes #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/roberto-fonseca/","dimanche 17 novembre 2024","Musique","Roberto Fonseca","La Gran Diversión","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=819"
"https://archipel.ville-fouesnant.fr/agenda/semaine-de-la-gravure/","Du 18 novembre au 23 novembre 2024","Rencontre","Semaine de la gravure","Visites, ateliers, démonstrations... | Morsure","",""
"https://archipel.ville-fouesnant.fr/agenda/derapage/","jeudi 21 novembre 2024","Humour","DÉRAPAGE","Les Sea Girls | Pierre Guillois","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?seance=1111"
"https://archipel.ville-fouesnant.fr/agenda/le-mois-du-film-documentaire-5/","vendredi 22 novembre 2024","Projection","Le Mois du film documentaire","","",""
"https://archipel.ville-fouesnant.fr/agenda/yoga-du-rire-1-2/","samedi 23 novembre 2024","Atelier","Yoga du rire #1","","",""
"https://archipel.ville-fouesnant.fr/agenda/cafe-carbone-2/","samedi 23 novembre 2024","Conversation","Café Carbone #2","","",""
"https://archipel.ville-fouesnant.fr/agenda/jean-clone/","jeudi 28 novembre 2024","Théâtre","Jean-Clone","Collectif AÏE AÏE AÏE | Julien Mellano","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=821"
"https://archipel.ville-fouesnant.fr/agenda/un-petit-dejeuner-avec-julien-mellano/","vendredi 29 novembre 2024","Échange","Un petit déjeuner avec Julien Mellano","autour du spectacle Jean-Clone","",""
"https://archipel.ville-fouesnant.fr/agenda/ouverture-des-inscriptions-aux-animations-de-la-mediatheque-6/","samedi 30 novembre 2024","","Ouverture des inscriptions aux animations de la Médiathèque","Deuxième partie de la saison 2024-2025","",""
"https://archipel.ville-fouesnant.fr/agenda/chet/","dimanche 1 décembre 2024","Musique","CHET – A Tribute to Chet Baker","David Enhco et Marc Perrenoud","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=823"
"https://archipel.ville-fouesnant.fr/agenda/quelles-sont-les-limites-de-letre-humain/","mardi 3 décembre 2024","Café-philo","Quelles sont les limites de l’être humain ?","Café-philo avec Yan Marchand","",""
"https://archipel.ville-fouesnant.fr/agenda/club-de-lecture-2/","mercredi 4 décembre 2024","Club","Club de lecture #2","Présentation du prix Cezam","",""
"https://archipel.ville-fouesnant.fr/agenda/ensachage-de-graines-3/","vendredi 6 décembre 2024","Participation","Ensachage de graines","Vie de la Grainothèque","",""
"https://archipel.ville-fouesnant.fr/agenda/reves/","samedi 7 décembre 2024","Cirque","Rêves","Cirque Inshi | Roman Khafizov","Réserver","https://archipel-ville-fouesnant.notre-billetterie.fr/billets?spec=825"
