title;desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Rencontre avec Bernard Foccroulle;Le Journal d’Hélène Berr;;2025-05-06T18:30:00+0200;2025-05-06T20:30:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/rencontre-conference-bernard-focroulle-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/18142701/focroulle--680x680.jpg?date=60653;Conférence;Théâtre de Cornouaille
Le Journal d’Hélène Berr;Bernard Foccroulle / Quatuor Béla / Jeanne Bleuse;;2025-05-06T20:00:00+0200;2025-05-06T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/le-journal-dhelene-berr-bernard-foccroulle-quatuor-bela-jeanne-bleuse-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04140944/25-0506-journal-helene-berr-03-camille-bauer_C_klara-beck-680x680.jpg?date=88206;Musique/Chant;Théâtre de Cornouaille
Céline;Juliette Navis / Laure Mathis;;2025-05-15T20:00:00+0200;2025-05-15T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/celine-juliette-navis-laure-mathis-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141107/25-0515-celine-01_C_philippe-couture-680x680.jpg?date=81342;Théâtre;Théâtre de Cornouaille
Céline;Juliette Navis / Laure Mathis;;2025-05-16T20:00:00+0200;2025-05-16T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/celine-juliette-navis-laure-mathis-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141107/25-0515-celine-01_C_philippe-couture-680x680.jpg?date=81342;Théâtre;Théâtre de Cornouaille
Niquer la fatalité;Estelle Meyer / Margaux Eskenazi;;2025-05-15T20:00:00+0200;2025-05-15T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/niquer-la-fatalite-estelle-meyer-margaux-eskenazi-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141240/25-0515-niquer-fatalite-03_C_emmanuelle-jacobson-roques-680x680.jpg?date=130025;Théâtre/Musique;Théâtre de Cornouaille
Niquer la fatalité;Estelle Meyer / Margaux Eskenazi;;2025-05-16T20:00:00+0200;2025-05-16T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/niquer-la-fatalite-estelle-meyer-margaux-eskenazi-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141240/25-0515-niquer-fatalite-03_C_emmanuelle-jacobson-roques-680x680.jpg?date=130025;Théâtre/Musique;Théâtre de Cornouaille
Amours aveugles;Koen Augustijnen / Rosalba Torres Guerrero;;2025-05-21T20:00:00+0200;2025-05-21T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/amours-aveugles-koen-augustijnen-rosalba-torres-guerrero-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141914/25-0521-amours-aveugles-01_C_sara-de-judice-de-menezes-680x680.jpg?date=104893;Danse;Théâtre de Cornouaille
Amours aveugles;Koen Augustijnen / Rosalba Torres Guerrero;;2025-05-22T20:00:00+0200;2025-05-22T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/amours-aveugles-koen-augustijnen-rosalba-torres-guerrero-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04141914/25-0521-amours-aveugles-01_C_sara-de-judice-de-menezes-680x680.jpg?date=104893;Danse;Théâtre de Cornouaille
We Want Stars – Craze – Pierre & The Stompers;;;2025-05-23T21:00:00+0200;2025-05-23T23:00:00+0200;65307583;https://www.theatre-cornouaille.fr/projects/we-want-stars-craze-pierre-the-stompers-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04142353/25-0523-sylvain-rifflet-05_C_marilyn-mugot-680x680.jpg?date=91738;Musique;Le Novomax
Des Chimères dans la tête;Sylvain Groud / Françoise Pétrovitch / Hervé Plumet;;2025-05-26T20:00:00+0200;2025-05-26T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/des-chimeres-dans-la-tete-sylvain-groud-francoise-petrovitch-herve-plumet-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04142842/25-0525-chimeres-tete-03_C_herve-plumet-680x680.jpg?date=113379;Danse;Théâtre de Cornouaille
Des Chimères dans la tête;Sylvain Groud / Françoise Pétrovitch / Hervé Plumet;;2025-05-27T20:00:00+0200;2025-05-27T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/des-chimeres-dans-la-tete-sylvain-groud-francoise-petrovitch-herve-plumet-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/04142842/25-0525-chimeres-tete-03_C_herve-plumet-680x680.jpg?date=113379;Danse;Théâtre de Cornouaille
Dérapage;Les Sea Girls / Pierre Guillois;;2025-06-03T20:00:00+0200;2025-06-03T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/derapage-les-sea-girls-pierre-guillois-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/13084625/25-0603-sea-girls-04_marie-vosgian-680x680.jpg?date=316000;Cabaret/Humour;Théâtre de Cornouaille
Dérapage;Les Sea Girls / Pierre Guillois;;2025-06-05T20:00:00+0200;2025-06-05T22:00:00+0200;33981020;https://www.theatre-cornouaille.fr/projects/derapage-les-sea-girls-pierre-guillois-24-25/;https://cdn.theatre-cornouaille.fr/wp-content/uploads/2024/06/13084625/25-0603-sea-girls-04_marie-vosgian-680x680.jpg?date=316000;Cabaret/Humour;Théâtre de Cornouaille
